City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
154,cabo san lucas,22.8909,-109.9124,307.32,49,0,2.06,MX,1724371603
155,constantia,44.1833,28.65,297.53,62,0,5.73,RO,1724371844
156,elliot,-31.3333,27.85,276.51,73,53,1.46,ZA,1724371846
157,kavaratti,10.5669,72.642,299.46,88,55,5.21,IN,1724371847
158,alice springs,-23.7,133.8833,299.9,22,0,6.69,AU,1724371848
159,susuman,62.7833,148.1667,287.78,47,9,1.43,RU,1724371850
160,ciudad melchor muzquiz,27.8833,-101.5167,311.12,22,12,9.29,MX,1724371851
161,college,64.8569,-147.8028,283.19,88,100,6.69,US,1724371852
162,yangor,64.8569,-147.8028,283.19,88,100,6.69,US,1724371852
163,chonchi,-42.6128,-73.8092,278.77,95,97,0.37,CL,1724371855
164,barka',-42.6128,-73.8092,278.77,95,97,0.37,CL,1724371855
165,weno,7.4515,151.8468,305.12,79,75,2.57,FM,1724371858
166,kavieng,-2.5744,150.7967,301.31,79,99,6.75,PG,1724371859
167,runaway bay,18.4596,-77.3357,301.22,84,13,1.88,JM,1724371861
168,wyomissing,40.3295,-75.9652,292.79,68,65,1.34,US,1724371862
169,toga village,40.3295,-75.9652,292.79,68,65,1.34,US,1724371862
170,sarangani,5.4033,125.4636,301.17,76,100,3.41,PH,1724371865
171,faya-largeau,17.9257,19.1043,306.94,43,19,4.24,TD,1724371866
172,tori-fatehpur,25.45,79.1333,299.16,89,100,2.66,IN,1724371867
173,el calafate,-50.3408,-72.2768,275.04,65,93,0.83,AR,1724371612
174,policka,49.7146,16.2654,289.12,65,41,2.83,CZ,1724371870
175,minas de marcona,-15.2119,-75.1103,283.23,90,99,7.99,PE,1724371871
176,south valley,35.0101,-106.6781,300.25,53,68,8.49,US,1724371873
177,choma,-16.8065,26.9531,286.98,38,0,2.32,ZM,1724371874
178,'ohonua,-16.8065,26.9531,286.98,38,0,2.32,ZM,1724371874
179,mount gambier,-37.8333,140.7667,283.47,94,100,3.65,AU,1724371877
